20000	襄平	city0	0.0	0.96
20001	北平	city0	0.0	0.96
20002	薊	city0	0.0	0.96
20003	南皮	city0	0.0	0.96
20004	平原	city0	0.0	0.96
20005	晉陽	city0	0.0	0.96
20006	鄴	city0	0.0	0.96
20007	北海	city1	0.0	0.96
20008	下邳	city0	0.0	0.96
20009	小沛	city0	0.0	0.96
20010	壽春	city0	0.0	0.96
20011	濮陽	city0	0.0	0.96
20012	陳留	city2	0.0	0.96
20013	許昌	city0	0.0	0.96
20014	汝南	city2	0.0	0.96
20015	洛陽	city0	0.0	0.96
20016	宛	city2	0.0	0.96
20017	長安	city2	0.0	0.96
20018	上庸	city0	0.0	0.96
20019	安定	city0	0.0	0.96
20020	天水	city0	0.0	0.96
20021	武威	city0	0.0	0.96
20022	建業	city1	0.0	0.96
20023	吳	city0	0.0	0.96
20024	會稽	city0	0.0	0.96
20025	廬江	city2	0.0	0.96
20026	柴桑	city1	0.0	0.96
20027	江夏	city2	0.0	0.96
20028	新野	city1	0.0	0.96
20029	襄陽	city1	0.0	0.96
20030	江陵	city0	0.0	0.96
20031	長沙	city0	0.0	0.96
20032	武陵	city0	0.0	0.96
20033	桂陽	city0	0.0	0.96
20034	零陵	city0	0.0	0.96
20035	永安	city0	0.0	0.96
20036	漢中	city0	0.0	0.96
20037	梓潼	city0	0.0	0.96
20038	江州	city0	0.0	0.96
20039	成都	city0	0.0	0.96
20040	建寧	city0	0.0	0.96
20041	雲南	city2	0.0	0.96
20042	壺關	gate	-1.1071488	1.0
20043	虎牢關	gate	-1.1071488	1.0
20044	潼關	gate	-1.1071488	1.0
20045	函谷關	gate	-1.1071488	1.0
20046	武關	gate	0.0	1.0
20047	陽平關	gate	0.0	1.0
20048	劍閣	gate	0.0	1.0
20049	葭萌關	gate	0.0	1.0
20050	涪水關	gate	-1.1071488	1.0
20051	綿竹關	gate	0.0	1.0
20052	安平港	port	0.0	1.0
20053	高唐港	port	1.1071488	1.0
20054	西河港	port	-2.0344439	1.0
20055	白馬港	port	1.1071488	1.0
20056	昌陽港	port	2.0344439	1.0
20057	臨濟港	port	3.1415927	1.0
20058	海陵港	port	1.1071488	1.0
20059	江都港	port	0.0	1.0
20060	濡須港	port	2.0344439	1.0
20061	頓丘港	port	-2.0344439	1.0
20062	官渡港	port	-2.0344439	1.0
20063	孟津港	port	3.1415927	1.0
20064	解縣港	port	-1.1071488	1.0
20065	新豐港	port	3.1415927	1.0
20066	夏陽港	port	1.1071488	1.0
20067	房陵港	port	0.0	1.0
20068	蕪湖港	port	-1.1071488	1.0
20069	虎林港	port	-2.0344439	1.0
20070	曲阿港	port	2.0344439	1.0
20071	句章港	port	3.1415927	1.0
20072	皖口港	port	0.0	1.0
20073	九江港	port	2.0344439	1.0
20074	陸口港	port	-2.0344439	1.0
20075	鄱陽港	port	-1.1071488	1.0
20076	盧陵港	port	-1.1071488	1.0
20077	夏口港	port	0.0	1.0
20078	湖陽港	port	0.0	1.0
20079	中廬港	port	3.1415927	1.0
20080	烏林港	port	2.0344439	1.0
20081	漢津港	port	2.0344439	1.0
20082	江津港	port	-1.1071488	1.0
20083	羅縣港	port	-1.1071488	1.0
20084	洞庭港	port	2.0344439	1.0
20085	公安港	port	2.0344439	1.0
20086	巫縣港	port	0.0	1.0
